data_segment,lookback_window,entry_threshold,exit_threshold,stop_threshold,total_return,annualized_return,sharpe_ratio,maximum_drawdown,number_of_trades,total_cost
test,60,1.5,1.0,4.0,-0.00043369476277022034,0.0011087665794353718,0.021591419284292257,-0.07805843105552424,18,3464.930544047913
test,60,2.0,0.0,3.0,0.0580762851090868,0.029716171780071354,0.4260743526838928,-0.0842879771553362,15,3455.7716449195123
test,60,2.0,0.0,3.5,0.041807865780543185,0.022150852213262073,0.3173660452343752,-0.09836747915484434,15,3427.774919188964
test,60,2.0,0.0,4.0,0.05556952753771105,0.028586997375618095,0.40711951649390854,-0.09075894424553865,10,2734.436540346281
test,60,2.0,0.5,3.0,0.01595528133865165,0.00916115578725063,0.1628822954488573,-0.09676180797858525,15,3280.9642081974935
test,60,2.0,0.5,3.5,0.0003344922060786182,0.001746262718081315,0.030961155488736965,-0.11064951897651665,15,3254.0624803139376
test,60,2.0,0.5,4.0,0.013548315385896403,0.008054433264438776,0.14172196087842104,-0.09890172851973256,10,2565.7285064843973
test,60,2.0,1.0,3.0,0.0035459137197551005,0.0027769650147755343,0.059522929888243314,-0.08777353043668956,17,3244.4701482184632
test,60,2.0,1.0,3.5,-0.011884075563253327,-0.004591204573163421,-0.09786369587857519,-0.10179944041908917,17,3220.6781978735835
test,60,2.0,1.0,4.0,0.0011683476095962764,0.001677216198455067,0.035408337497442856,-0.08993474569268534,12,2536.585323565904
test,60,2.5,0.0,3.0,0.02155288152140611,0.012237595615134822,0.19199612360706605,-0.08428797715533731,12,2663.063691299286
test,60,2.5,0.0,3.5,0.0058460266596529475,0.0048001876624150785,0.07520427781284626,-0.09836747915484523,12,2640.7616467699168
test,60,2.5,0.0,4.0,0.01913265392879082,0.011127512636803782,0.17318288260001538,-0.09075894424553932,7,1970.5554841397623
test,60,2.5,0.5,3.0,-0.017920626152523877,-0.007393576779038069,-0.15077889890027515,-0.09384823556217836,12,2513.423931019026
test,60,2.5,0.5,3.5,-0.03302055731298581,-0.01468730958014286,-0.29817630133821194,-0.10778074410304761,12,2491.9648395956356
test,60,2.5,0.5,4.0,-0.020247334482283885,-0.008482215542287008,-0.1706497771830345,-0.09599505883786097,7,1825.8828695156676
test,60,2.5,1.0,3.0,-0.016385811620599156,-0.007018565944428623,-0.1715586744199621,-0.08678141826980301,13,2460.0581433939174
test,60,2.5,1.0,3.5,-0.031509341274617575,-0.014315043451224363,-0.3471093317222319,-0.10082258244226427,13,2439.7266327994093
test,60,2.5,1.0,4.0,-0.018716156179619192,-0.00810761436840246,-0.19433105149235216,-0.08894498400347495,8,1771.8694668850644
test,90,1.5,0.0,3.0,0.01564448002277108,0.010134271664841599,0.13734962311292337,-0.08857812163156642,15,3373.902386819339
test,90,1.5,0.0,3.5,0.022803888339663958,0.013535198175406826,0.18284191773435526,-0.08394433303279292,12,2983.123025505245
test,90,1.5,0.0,4.0,0.02708235941080095,0.015558554560485716,0.20988494946998532,-0.08011239837224615,10,2722.5435234978577
test,90,1.5,0.5,3.0,0.042486084786147016,0.022380890160264233,0.32658267619752634,-0.09912668737025188,17,3591.958190225052
test,90,1.5,0.5,3.5,0.04983470302064852,0.025822883785505013,0.3754829666593835,-0.09454652906587013,14,3189.2270970152085
test,90,1.5,0.5,4.0,0.05422624616744032,0.02787067248930941,0.40468137713089625,-0.09075894424553732,12,2920.43320318557
test,90,1.5,1.0,3.0,-0.028548044010529794,-0.012425209285958472,-0.24318009221498152,-0.1033834289839698,19,3544.3509386288524
test,90,1.5,1.0,3.5,-0.02170015446849527,-0.009099937655846713,-0.1772034741892854,-0.09882491251332814,16,3155.3674848921446
test,90,1.5,1.0,4.0,-0.01760784739406629,-0.007121591116418524,-0.13842428677530347,-0.09505522451566084,14,2892.4449432444835
test,90,2.0,0.0,3.0,-0.0228288989219686,-0.008439664966110039,-0.11830492093856038,-0.08857812163156575,13,2883.0253228639995
